时间,商品名称,库存变化,单笔销量
2026-03-30 17:36:19,国际地址,-47->-45,-2
2026-03-30 17:37:35,中国地址,-17->-18,1
2026-03-30 17:38:53,韩国地址,-853->-900,47
2026-03-30 18:14:00,中国地址,-18->-19,1
2026-03-30 18:18:16,中国地址,-19->-32,13
2026-03-30 18:20:25,中国地址,-32->-45,13
2026-03-30 18:21:30,中国地址,-45->-58,13
2026-03-30 18:24:53,韩国地址,-900->-901,1
2026-03-30 18:28:06,韩国地址,-901->-913,12
2026-03-30 18:34:10,国际地址,-45->-47,2
